140831 113058.939|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin\logs directory.
140831 113058.940|INFO|Thread-5|info|
140831 113058.940|INFO|Thread-5|info|Version 9.2.3 20120910 (Monday, September 10th 2012 16:20 UTC) Java ver 1.8.0_20 build 2565 Windows 7 6.1 (amd64) 
140831 113058.940|INFO|Thread-5|info|Login: team13 (aka team13)
140831 113058.940|INFO|Thread-5|startLog|Working directory is C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin
140831 113058.941|INFO|Thread-5|startLog|Process id is 7152@CHIKAANCOMPUTER
140831 113058.942|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
140831 113058.954|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
140831 113059.255|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
140831 113059.256|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #918 SERVER0 @ site 1 -> TEAM13 @ site 1
140831 113059.256|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #918 SERVER0 @ site 1 -> TEAM13 @ site 1
140831 130959.134|INFO|Thread-1|info|connectionDropped: shutting down TEAM13 @ site 1
